,BlowingBubbles_384x192_50.yuv,,,,,BQSquare_384x192_60.yuv,,,,,BasketballPass_384x192_50.yuv,,,,,RaceHorses_384x192_30.yuv,,,,
,Time ,PSNR ,Bitrate ,RD Misses ,WR Misses ,Time ,PSNR ,Bitrate ,RD Misses ,WR Misses ,Time ,PSNR ,Bitrate ,RD Misses ,WR Misses ,Time ,PSNR ,Bitrate ,RD Misses ,WR Misses 
,BlowingBubbles_384x192_50.yuv,,,,,BQSquare_384x192_60.yuv,,,,,BasketballPass_384x192_50.yuv,,,,,RaceHorses_384x192_30.yuv,,,,
,Time ,PSNR ,Bitrate ,RD Misses ,WR Misses ,Time ,PSNR ,Bitrate ,RD Misses ,WR Misses ,Time ,PSNR ,Bitrate ,RD Misses ,WR Misses ,Time ,PSNR ,Bitrate ,RD Misses ,WR Misses 
me=esa,0.12,0,0,0.04,0.25,0.25,0,0,0.03,0.18,0.09,0,0,0.73,0.75,0,0,0,0.04,0.5
me=umh,0.77,0,0,0.81,0.59,0.82,0,0,0.76,0.53,0.81,0,0,0.94,0.86,0.76,0,-0.01,0.73,0.7
me=hex,0.89,0,-0.01,0.93,0.66,0.93,0,0,0.92,0.62,0.91,0,0,0.97,0.88,0.91,0,-0.01,0.93,0.78
me=dia,0.91,0,-0.01,0.93,0.66,0.94,0,0,0.93,0.62,0.92,0,-0.01,0.98,0.88,0.93,0,-0.03,0.94,0.78
bframes=3,0,0,0,-0.03,-0.02,0.14,-0.01,-0.06,-0.04,-0.02,0,0,0,0.71,0.62,0,0,-0.02,-0.02,0.01
bframes=2,0,0,-0.01,-0.13,-0.08,0,-0.01,-0.09,-0.23,-0.14,0,0,-0.01,0.7,0.63,0,0,-0.02,-0.1,-0.05
bframes=1,0,0,-0.1,-0.1,-0.05,0,-0.02,-0.28,-0.43,-0.25,0,0,-0.03,0.7,0.62,0,-0.01,-0.04,-0.12,-0.06
bframes=0,-0.17,0,-0.27,-0.37,-0.19,-0.5,-0.02,-0.85,-1.16,-0.7,0.09,0,-0.12,0.72,0.66,0,-0.01,-0.11,-0.22,-0.02
merange=50,0.22,0,0,0.27,0.1,0.33,0,0,0.25,0.07,0.29,0,0,0.78,0.68,0.2,0,0,0.28,0.15
merange=36,0.5,0,0,0.56,0.32,0.57,0,0,0.54,0.28,0.5,0,0,0.87,0.76,0.5,0,0,0.58,0.4
merange=22,0.67,0,0,0.78,0.52,0.75,0,0,0.76,0.47,0.7,0,0,0.93,0.82,0.69,0,0,0.79,0.64
merange=8,0.84,0,0,0.9,0.6,0.89,0,0,0.89,0.55,0.85,0,0.01,0.96,0.85,0.87,0,-0.04,0.91,0.74
b-adapt=1,0.12,0,-0.09,-0.01,0.02,0.14,-0.01,-0.28,-0.28,-0.15,0.17,0,-0.02,0.73,0.67,0,-0.01,-0.06,-0.09,0.01
b-adapt=0,0,0,0.03,0,-0.01,0.25,0,0,0.01,0.01,0.09,0,0.01,0.72,0.63,0,0,0,0.01,-0.02
weightp=1,0.12,0,-0.01,-0.01,0,0.25,0,0,-0.01,0,0,0,0,0.71,0.63,0,0,0,0.01,0.01
weightp=0,0.12,0,-0.01,-0.01,0,0.25,0,0,0,0,0,0,0,0.71,0.63,0,0,0,0.01,0.02
trellis=1,0.12,0,-0.02,0,0.03,0.25,0,0,0.02,0.05,0,0,-0.01,0.71,0.63,0,0,-0.01,0.01,0.03
trellis=0,0.12,0,0,0,0.06,0.25,0.01,-0.01,-0.01,0.06,0,0,0,0.71,0.64,0,0.01,0,0,0.03
ref=4,0.22,0,0,0.08,0.06,0.33,0,0,0.08,0.05,0.17,0,0,0.73,0.65,0.2,0,0,0.07,0.09
ref=3,0.22,0,0,0.08,0.06,0.33,0,0,0.08,0.05,0.09,0,0,0.73,0.65,0,0,0,0.07,0.09
ref=2,0.22,0,0,0.15,0.11,0.33,0,-0.02,0.2,0.12,0.23,0,0,0.75,0.67,0.2,0,-0.01,0.13,0.16
ref=1,0.42,0,-0.01,0.27,0.2,0.54,0,-0.02,0.36,0.22,0.41,0,0,0.78,0.7,0.33,0,-0.01,0.24,0.28
partitions=b8x8,0.36,0,-0.06,0.34,0.26,0.4,0,-0.02,0.32,0.22,0.23,0,-0.08,0.78,0.71,0.2,0,-0.07,0.32,0.27
partitions=p4x4,0.61,0,-0.08,0.69,0.51,0.57,0,-0.03,0.65,0.44,0.47,0,-0.11,0.87,0.78,0.64,0,-0.15,0.77,0.61
partitions=p8x8,0.42,0,-0.03,0.49,0.36,0.45,0,-0.02,0.45,0.3,0.33,0,-0.04,0.83,0.74,0.43,0,-0.1,0.6,0.45
partitions=none,0.63,0,-0.08,0.69,0.51,0.57,0,-0.03,0.65,0.44,0.47,0,-0.11,0.87,0.78,0.64,0,-0.15,0.77,0.61
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
c0,--me tesa --bframes 4 --merange 64 --b-adapt 2 --weightp 2 --trellis 2 --ref 5 --partitions all,,,,,,,,,,,,,,,,,,,
c1,--me esa --bframes 4 --merange 64 --b-adapt 2 --weightp 2 --trellis 2 --ref 5 --partitions all,,,,,,,,,,,,,,,,,,,
c2,--me umh --bframes 4 --merange 64 --b-adapt 2 --weightp 2 --trellis 2 --ref 5 --partitions all,,,,,,,,,,,,,,,,,,,
c3,--me hex --bframes 4 --merange 64 --b-adapt 2 --weightp 2 --trellis 2 --ref 5 --partitions all,,,,,,,,,,,,,,,,,,,
c4,--me dia --bframes 4 --merange 64 --b-adapt 2 --weightp 2 --trellis 2 --ref 5 --partitions all,,,,,,,,,,,,,,,,,,,
c5,--me tesa --bframes 3 --merange 64 --b-adapt 2 --weightp 2 --trellis 2 --ref 5 --partitions all,,,,,,,,,,,,,,,,,,,
c6,--me tesa --bframes 2 --merange 64 --b-adapt 2 --weightp 2 --trellis 2 --ref 5 --partitions all,,,,,,,,,,,,,,,,,,,
