	RaceHorses_832x448_30.yuv 832 448 30			BasketballDrill_832x448_50.yuv 832 448 50			BQMall_832x448_60.yuv 832 448 60			PartyScene_832x448_50.yuv 832 448 50		
	Time 	PSNR 	Bitrate 	Time 	PSNR 	Bitrate 	Time 	PSNR 	Bitrate 	Time 	PSNR 	Bitrate 
c3	-p SearchRange=8 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c4	-p SearchRange=64 -p PSliceSearch8x16=0 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c5	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=3 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c6	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=2 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c7	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=1 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c8	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=0 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c9	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=0 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c10	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=1 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c11	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=0 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c12	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=0 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c13	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=0 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c14	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=0 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c15	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=1 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c16	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=0 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c17	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=0 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c18	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=2 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c19	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=1 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c20	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=0 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c21	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=4 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c22	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=3 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c23	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=2 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c24	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=1 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c25	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=0 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c26	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=5 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c27	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=4 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c28	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=3 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c29	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=2 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c30	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=1 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
