	RaceHorses_832x448_30.yuv 832 448 30			BasketballDrill_832x448_50.yuv 832 448 50			BQMall_832x448_60.yuv 832 448 60			PartyScene_832x448_50.yuv 832 448 50		
	Time 	PSNR 	Bitrate 	Time 	PSNR 	Bitrate 	Time 	PSNR 	Bitrate 	Time 	PSNR 	Bitrate 
PSliceSearch8x8=0	186.44 	37.11 	5198.39 	101.95 	38.84 	3782.84 	79.22 	38.67 	4869.27 	134.56 	36.65 	9626.30 	
ChromaMEEnable=1	180.33 	37.11 	5209.98 	99.71 	38.83 	3790.14 	78.11 	38.67 	4867.80 	131.80 	36.65 	9622.68 	
ChromaMEEnable=0	173.28 	37.10 	5217.48 	96.62 	38.82 	3787.38 	75.65 	38.67 	4868.69 	127.78 	36.65 	9642.40 	
BSliceSearch16x8=0	168.17 	37.10 	5221.81 	92.80 	38.82 	3801.98 	71.90 	38.66 	4880.23 	122.22 	36.65 	9656.71 	
EPZSSubPelMEBipred=0	191.82 	37.11 	5197.07 	105.85 	38.83 	3783.33 	82.14 	38.67 	4866.03 	138.46 	36.66 	9631.70 	
MEDistortionQPel=1	190.49 	37.16 	5448.77 	104.08 	38.87 	3911.93 	79.66 	38.70 	5066.60 	134.15 	36.72 	9952.84 	
MEDistortionQPel=0	193.95 	37.18 	5355.13 	106.24 	38.89 	3878.89 	81.98 	38.72 	4999.94 	138.35 	36.74 	9866.39 	
PSliceSearch16x8=0	186.54 	37.11 	5198.39 	102.11 	38.84 	3782.84 	79.11 	38.67 	4869.27 	134.76 	36.65 	9626.30 	
DisableSubpelME=1	151.67 	36.95 	5554.00 	79.16 	38.72 	4066.79 	61.72 	38.55 	5067.96 	107.60 	36.58 	10369.22 	
BiPredMotionEstimation=0	152.47 	37.09 	5253.67 	84.68 	38.80 	3829.02 	65.87 	38.64 	4912.53 	113.77 	36.63 	9811.15 	
RDOQ_Fast=0	303.71 	37.12 	5186.60 	255.21 	38.84 	3769.43 	207.08 	38.69 	4869.41 	275.36 	36.66 	9615.72 	
MEDistortionFPel=0	210.89 	37.11 	5191.98 	107.60 	38.83 	3783.13 	82.49 	38.67 	4866.03 	143.76 	36.65 	9614.38 	
WeightedBiprediction=1	188.66 	37.11 	5198.39 	102.68 	38.84 	3782.84 	79.56 	38.67 	4869.27 	135.31 	36.65 	9626.30 	
WeightedBiprediction=0	187.31 	37.11 	5198.39 	102.68 	38.84 	3782.84 	79.56 	38.67 	4869.27 	135.45 	36.65 	9626.30 	
PSliceSearch16x16=0	187.33 	37.11 	5198.39 	102.48 	38.84 	3782.84 	79.51 	38.67 	4869.27 	140.54 	36.65 	9626.30 	
PSliceSearch4x4=0	192.20 	37.11 	5198.39 	103.53 	38.84 	3782.84 	80.41 	38.67 	4869.27 	136.74 	36.65 	9626.30 	
BiPredMESearchRange=4	188.23 	37.11 	5197.85 	102.51 	38.82 	3782.57 	79.44 	38.67 	4871.75 	135.07 	36.65 	9625.58 	
BiPredMESearchRange=2	183.84 	37.10 	5207.00 	101.72 	38.82 	3783.23 	78.69 	38.68 	4874.69 	134.06 	36.65 	9623.38 	
BiPredMESearchRange=0	176.37 	37.10 	5216.63 	98.43 	38.82 	3789.80 	76.78 	38.67 	4876.32 	130.38 	36.66 	9641.75 	
EPZSSubPelME=0	207.95 	37.11 	5197.48 	113.00 	38.83 	3782.60 	86.53 	38.68 	4866.96 	143.71 	36.65 	9623.95 	



	RaceHorses_832x448_30.yuv 832 448 30			BasketballDrill_832x448_50.yuv 832 448 50			BQMall_832x448_60.yuv 832 448 60			PartyScene_832x448_50.yuv 832 448 50		
	Time 	PSNR 	Bitrate 	Time 	PSNR 	Bitrate 	Time 	PSNR 	Bitrate 	Time 	PSNR 	Bitrate 
SearchRange=32	0.01 	0.00 	-0.01 	-0.02 	0.00 	-0.01 	-0.08 	0.00 	-0.00 	-0.05 	-0.00 	0.00 	
SearchRange=16	-0.04 	0.00 	-0.03 	-0.05 	0.00 	-0.01 	-0.03 	0.00 	-0.00 	0.02 	-0.00 	-0.00 	
SearchRange=8	0.01 	0.00 	-0.05 	-0.05 	0.00 	-0.02 	-0.08 	0.00 	-0.02 	0.04 	0.00 	0.00 	
PSliceSearch8x16=0	0.04 	0.00 	0.00 	0.02 	0.00 	0.00 	0.01 	0.00 	0.00 	0.02 	0.00 	0.00 	
NumberReferenceFrames=3	0.08 	0.00 	-0.01 	-0.00 	0.00 	-0.04 	0.02 	0.00 	-0.01 	0.04 	-0.00 	0.00 	
NumberReferenceFrames=2	0.04 	0.00 	-0.07 	-0.07 	0.01 	-0.10 	-0.03 	0.00 	-0.06 	-0.14 	0.02 	-0.16 	
NumberReferenceFrames=1	0.10 	0.01 	-0.14 	-0.08 	0.02 	-0.19 	-0.03 	0.01 	-0.15 	-0.18 	0.04 	-0.27 	
PSliceSearch4x8=0	0.04 	0.00 	0.00 	0.02 	0.00 	0.00 	0.01 	0.00 	0.00 	0.02 	0.00 	0.00 	
BSliceSearch8x4=0	0.09 	-0.00 	-0.00 	0.06 	0.00 	-0.00 	0.06 	-0.00 	-0.00 	-0.01 	0.00 	-0.00 	
BReferencePictures=1	0.10 	-0.01 	-0.04 	0.09 	-0.00 	-0.07 	0.09 	-0.00 	-0.08 	0.06 	-0.01 	-0.06 	
BReferencePictures=0	0.07 	-0.01 	-0.04 	0.09 	-0.00 	-0.07 	0.09 	-0.00 	-0.08 	0.09 	-0.01 	-0.06 	
