,RaceHorses_832x448_30.yuv 832 448 30,,,BasketballDrill_832x448_50.yuv 832 448 50,,,BQMall_832x448_60.yuv 832 448 60,,,PartyScene_832x448_50.yuv 832 448 50,,
WeightedPrediction=0,137.62,35.51,2837.92,78.57,37.86,2376.22,58.39,37.95,3117.97,115.43,35.25,6089.38
BiPredMESubPel=1,133.97,35.51,2854.88,74.85,37.86,2375.07,56.04,37.94,3113.07,111.08,35.25,6103.11
BiPredMESubPel=0,126.88,35.5,2846.64,71.18,37.85,2370.58,53.45,37.91,3109.97,106.64,35.24,6098.98
BSliceSearch8x16=0,123.95,35.48,2871.44,70.19,37.85,2382.36,52.67,37.92,3133.23,103.93,35.24,6128.71
SearchMode=2,301.07,35.49,2864.35,141.92,37.84,2387.87,93.56,37.92,3129.87,226.26,35.24,6156.44
SearchMode=1,250.84,35.39,2989.81,112.83,37.82,2409.73,79.98,37.88,3163.09,170.71,35.21,6169.96
SearchMode=0,4180.75,35.54,2837.25,3825.39,37.89,2373.24,2929.33,37.94,3117.71,3917.94,35.25,6103.69
EPZSPattern=4,150.47,35.52,2842.53,85.58,37.87,2378.04,62.99,37.93,3109.65,125.74,35.25,6083.2
EPZSPattern=3,142.48,35.51,2848.21,81.2,37.86,2369.24,61.06,37.94,3113.76,121.33,35.25,6098.76
EPZSPattern=2,150.49,35.52,2841.63,84.38,37.87,2379.91,62.34,37.94,3113.49,123.66,35.25,6094.4
EPZSPattern=1,145.67,35.51,2837.63,82.11,37.86,2372.53,59.51,37.94,3110.13,120.69,35.25,6097.73
EPZSPattern=0,140.5,35.5,2843.2,79.87,37.86,2373.33,61.6,37.94,3110.72,116.19,35.25,6100.04
EPZSDualRefinement=5,144.47,35.51,2847.33,80.74,37.87,2377.64,61.25,37.93,3109.76,125.64,35.25,6088.22
EPZSDualRefinement=4,140.69,35.52,2847.2,79.18,37.87,2372.49,59.14,37.94,3109.92,118.01,35.25,6100.93
EPZSDualRefinement=3,140.96,35.52,2835.47,79.57,37.88,2376.27,59.28,37.93,3115.31,116.67,35.25,6086.44
EPZSDualRefinement=2,137.3,35.52,2845.36,77.92,37.87,2376.31,58.46,37.94,3110.99,115.5,35.26,6101.56
EPZSDualRefinement=1,141.78,35.53,2844.8,77.84,37.87,2376.8,58.2,37.94,3113.55,114.6,35.25,6097.96
EPZSDualRefinement=0,135.59,35.49,2856.37,76.98,37.86,2376.58,57.84,37.94,3116.21,113.31,35.25,6096.09
BiPredMERefinements=0,134.39,35.52,2849.55,76.61,37.86,2375.87,57.4,37.94,3116.59,112.98,35.26,6096.44
PSliceSearch8x4=0,138.11,35.51,2837.92,78.85,37.86,2376.22,58.51,37.95,3117.97,115.68,35.25,6089.38
BSliceSearch16x16=0,115.92,35.49,2904.19,65.66,37.84,2419.64,49.18,37.9,3133.71,96.93,35.24,6133.91
MDDistortion=1,137.68,35.5,2858.05,78.73,37.86,2380.36,58.59,37.91,3110.56,116.89,35.24,6113.47
MDDistortion=0,139.97,35.47,2909.63,79.79,37.82,2391.6,58.83,37.91,3156.85,116.58,35.2,6158.49
MEDistortionHPel=1,136.81,35.6,2901.12,76.8,37.94,2407.91,57.35,38.02,3163.79,113.12,35.34,6196.84
MEDistortionHPel=0,142.76,35.59,2899.2,80.92,37.95,2419.73,60.29,38.02,3164.16,125.92,35.33,6196.67
PSliceSearch8x8=0,144.47,35.51,2837.92,78.82,37.86,2376.22,58.36,37.95,3117.97,115.68,35.25,6089.38
ChromaMEEnable=1,133.68,35.49,2851.12,76.17,37.86,2370.98,58.45,37.94,3115.52,112.96,35.25,6097.69
ChromaMEEnable=0,127.73,35.49,2841.25,73.83,37.86,2377.42,56.41,37.94,3114.51,108.88,35.24,6087.56
BSliceSearch16x8=0,124.07,35.5,2853.36,70.88,37.84,2383.38,52.97,37.92,3118.19,103.89,35.24,6106.71
EPZSSubPelMEBipred=0,142.72,35.52,2838.48,81.79,37.87,2376.62,60.85,37.93,3110.93,118.45,35.25,6085.11
MEDistortionQPel=1,143.28,35.52,2978.32,79.83,37.87,2450.27,58.69,37.97,3216.48,117.06,35.29,6289.69
MEDistortionQPel=0,143.59,35.57,2894.27,81.48,37.93,2413.24,61.16,37.99,3159.47,121.84,35.31,6204.13
PSliceSearch16x8=0,137.94,35.51,2837.92,78.9,37.86,2376.22,58.47,37.95,3117.97,115.9,35.25,6089.38
DisableSubpelME=1,116.89,35.24,3016.24,61.83,37.67,2445.51,46.72,37.77,3189.01,96.13,35.07,6527.56
BiPredMotionEstimation=0,116.41,35.49,2863.39,66.37,37.85,2393.38,49.94,37.9,3120.21,114.19,35.22,6156.53
RDOQ_Fast=0,290.97,35.53,2819.6,247.57,37.87,2363.02,193.8,37.96,3115.41,289.77,35.27,6087.29
MEDistortionFPel=0,160.97,35.51,2848.61,85.92,37.86,2371.78,62.46,37.94,3108.16,125.96,35.25,6076.49
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,RaceHorses_832x448_30.yuv 832 448 30,,,BasketballDrill_832x448_50.yuv 832 448 50,,,BQMall_832x448_60.yuv 832 448 60,,,PartyScene_832x448_50.yuv 832 448 50,,
,Time ,PSNR ,Bitrate ,Time ,PSNR ,Bitrate ,Time ,PSNR ,Bitrate ,Time ,PSNR ,Bitrate 
SearchRange=32,0.02,0,-0.02,0.02,0,0,0.04,0,0,0.03,0,0
SearchRange=16,-0.01,0,-0.05,0.01,0,-0.01,0.04,0,0,0.05,0,0
SearchRange=8,-0.04,0,-0.08,0,0,-0.03,0.02,0,-0.02,0.05,0,0
PSliceSearch8x16=0,0.01,0,0,-0.01,0,0,0.01,0,0,0,0,0
NumberReferenceFrames=3,0.05,0,-0.01,-0.01,0,-0.03,0.02,0,0,0.01,0,0
NumberReferenceFrames=2,-0.02,0.01,-0.06,-0.11,0.01,-0.07,-0.03,0.01,-0.04,-0.05,0.03,-0.1
NumberReferenceFrames=1,-0.01,0.02,-0.15,-0.09,0.02,-0.12,-0.03,0.01,-0.08,-0.15,0.05,-0.18
PSliceSearch4x8=0,0,0,0,-0.02,0,0,0.01,0,0,-0.01,0,0
BSliceSearch8x4=0,0.03,0,0,0.03,0,0,0.03,0,0,0.03,0,0
BReferencePictures=1,0.08,-0.02,-0.2,0,-0.01,-0.16,0.06,-0.01,-0.17,0.07,-0.02,-0.21
BReferencePictures=0,0.12,-0.02,-0.2,0.05,-0.01,-0.16,0.07,-0.01,-0.17,0.07,-0.02,-0.21
BSliceSearch8x8=0,0.14,0,-0.01,0.13,0,0,0.12,0,0,0.06,0,0
UseRDOQuant=0,0.6,0,-0.07,0.43,0.01,0.04,0.41,0.01,0.05,0.55,0.01,-0.03
WeightedPrediction=0,0.04,0,0,0.02,0,0,0.04,0,0,0.04,0,0
BiPredMESubPel=1,0.06,0,-0.01,0.07,0,0,0.08,0,0,0.07,0,0
BiPredMESubPel=0,0.11,0,0,0.11,0,0,0.12,0,0,0.11,0,0
BSliceSearch8x16=0,0.13,0,-0.01,0.13,0,0,0.13,0,0,0.13,0,-0.01
SearchMode=2,-1.1,0,-0.01,-0.77,0,0,-0.54,0,0,-0.89,0,-0.01
SearchMode=1,-0.75,0,-0.05,-0.41,0,-0.01,-0.32,0,-0.01,-0.43,0,-0.01
SearchMode=0,-28.22,0,0,-46.64,0,0,-47.3,0,0,-31.72,0,0
EPZSPattern=4,-0.05,0,0,-0.07,0,0,-0.04,0,0,-0.05,0,0
EPZSPattern=3,0,0,0,-0.01,0,0,-0.01,0,0,-0.01,0,0
EPZSPattern=2,-0.05,0,0,-0.05,0,0,-0.03,0,0,-0.03,0,0
EPZSPattern=1,-0.02,0,0,-0.02,0,0,0.02,0,0,-0.01,0,0
EPZSPattern=0,0.02,0,0,0.01,0,0,-0.02,0,0,0.03,0,0
EPZSDualRefinement=5,-0.01,0,0,-0.01,0,0,-0.01,0,0,-0.05,0,0
EPZSDualRefinement=4,0.02,0,0,0.01,0,0,0.02,0,0,0.01,0,0
EPZSDualRefinement=3,0.01,0,0,0.01,0,0,0.02,0,0,0.03,0,0
EPZSDualRefinement=2,0.04,0,0,0.03,0,0,0.04,0,0,0.04,0,0
EPZSDualRefinement=1,0.01,0,0,0.03,0,0,0.04,0,0,0.04,0,0
EPZSDualRefinement=0,0.05,0,-0.01,0.04,0,0,0.05,0,0,0.05,0,0
BiPredMERefinements=0,0.06,0,0,0.05,0,0,0.05,0,0,0.06,0,0
PSliceSearch8x4=0,0.03,0,0,0.02,0,0,0.04,0,0,0.03,0,0
BSliceSearch16x16=0,0.19,0,-0.02,0.18,0,-0.02,0.19,0,-0.01,0.19,0,-0.01
MDDistortion=1,0.04,0,-0.01,0.02,0,0,0.03,0,0,0.02,0,0
MDDistortion=0,0.02,0,-0.03,0.01,0,-0.01,0.03,0,-0.01,0.03,0,-0.01
MEDistortionHPel=1,0.04,0,-0.02,0.04,0,-0.01,0.05,0,-0.01,0.06,0,-0.02
MEDistortionHPel=0,0,0,-0.02,-0.01,0,-0.02,0.01,0,-0.01,-0.05,0,-0.02
PSliceSearch8x8=0,-0.01,0,0,0.02,0,0,0.04,0,0,0.03,0,0
ChromaMEEnable=1,0.07,0,0,0.05,0,0,0.04,0,0,0.06,0,0
ChromaMEEnable=0,0.11,0,0,0.08,0,0,0.07,0,0,0.09,0,0
BSliceSearch16x8=0,0.13,0,-0.01,0.12,0,0,0.13,0,0,0.13,0,0
EPZSSubPelMEBipred=0,0,0,0,-0.02,0,0,0,0,0,0.01,0,0
MEDistortionQPel=1,0,0,-0.05,0.01,0,-0.03,0.03,0,-0.03,0.02,0,-0.03
MEDistortionQPel=0,0,0,-0.02,-0.01,0,-0.02,-0.01,0,-0.01,-0.02,0,-0.02
PSliceSearch16x8=0,0.04,0,0,0.02,0,0,0.04,0,0,0.03,0,0
DisableSubpelME=1,0.18,0.01,-0.06,0.23,0.01,-0.03,0.23,0,-0.02,0.2,0.01,-0.07
BiPredMotionEstimation=0,0.19,0,-0.01,0.17,0,-0.01,0.18,0,0,0.05,0,-0.01
RDOQ_Fast=0,-1.03,0,0.01,-2.08,0,0.01,-2.2,0,0,-1.42,0,0
MEDistortionFPel=0,-0.13,0,0,-0.07,0,0,-0.03,0,0,-0.05,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
c0,#NAME?,,,,,,,,,,,
c1,#NAME?,,,,,,,,,,,
c2,#NAME?,,,,,,,,,,,
c3,#NAME?,,,,,,,,,,,
c4,#NAME?,,,,,,,,,,,
c5,#NAME?,,,,,,,,,,,
c6,#NAME?,,,,,,,,,,,
c7,#NAME?,,,,,,,,,,,
c8,#NAME?,,,,,,,,,,,
c9,#NAME?,,,,,,,,,,,
c10,#NAME?,,,,,,,,,,,
c11,#NAME?,,,,,,,,,,,
c12,#NAME?,,,,,,,,,,,
c13,#NAME?,,,,,,,,,,,
c14,#NAME?,,,,,,,,,,,
c15,#NAME?,,,,,,,,,,,
c16,#NAME?,,,,,,,,,,,
c17,#NAME?,,,,,,,,,,,
c18,#NAME?,,,,,,,,,,,
c19,#NAME?,,,,,,,,,,,
c20,#NAME?,,,,,,,,,,,
c21,#NAME?,,,,,,,,,,,
c22,#NAME?,,,,,,,,,,,
c23,#NAME?,,,,,,,,,,,
c24,#NAME?,,,,,,,,,,,
c25,#NAME?,,,,,,,,,,,
c26,#NAME?,,,,,,,,,,,
c27,#NAME?,,,,,,,,,,,
c28,#NAME?,,,,,,,,,,,
c29,#NAME?,,,,,,,,,,,
c30,#NAME?,,,,,,,,,,,
c31,#NAME?,,,,,,,,,,,
c32,#NAME?,,,,,,,,,,,
c33,#NAME?,,,,,,,,,,,
c34,#NAME?,,,,,,,,,,,
c35,#NAME?,,,,,,,,,,,
c36,#NAME?,,,,,,,,,,,
c37,#NAME?,,,,,,,,,,,
c38,#NAME?,,,,,,,,,,,
c39,#NAME?,,,,,,,,,,,
c40,#NAME?,,,,,,,,,,,
c41,#NAME?,,,,,,,,,,,
c42,#NAME?,,,,,,,,,,,
c43,#NAME?,,,,,,,,,,,
c44,#NAME?,,,,,,,,,,,
c45,#NAME?,,,,,,,,,,,
c46,#NAME?,,,,,,,,,,,
c47,#NAME?,,,,,,,,,,,
c48,#NAME?,,,,,,,,,,,
c49,#NAME?,,,,,,,,,,,
c50,#NAME?,,,,,,,,,,,
