,RaceHorses_832x448_30.yuv 832 448 30,,,BasketballDrill_832x448_50.yuv 832 448 50,,,BQMall_832x448_60.yuv 832 448 60,,,PartyScene_832x448_50.yuv 832 448 50,,
,Time ,PSNR ,Bitrate ,Time ,PSNR ,Bitrate ,Time ,PSNR ,Bitrate ,Time ,PSNR ,Bitrate 
c0,143.09,35.51,2837.92,80.29,37.86,2376.22,60.65,37.95,3117.97,119.75,35.25,6089.38
SearchRange=32,140.23,35.49,2882.56,78.89,37.86,2381.87,58.4,37.94,3118.61,115.68,35.24,6083.47
SearchRange=16,144.58,35.41,2973.01,79.3,37.84,2410.4,58.44,37.92,3131.79,113.86,35.25,6094.4
SearchRange=8,148.92,35.39,3052.45,80.04,37.82,2436.8,59.5,37.91,3169.49,113.29,35.25,6092
PSliceSearch8x16=0,141.22,35.51,2837.92,80.82,37.86,2376.22,59.75,37.95,3117.97,119.23,35.25,6089.38
NumberReferenceFrames=3,136.65,35.43,2876.19,81.05,37.7,2439.02,59.7,37.9,3130.24,118.16,35.25,6089.73
NumberReferenceFrames=2,145.85,35.23,3011.79,88.91,37.44,2541.96,62.77,37.75,3233.81,126.09,34.11,6698.22
NumberReferenceFrames=1,143.95,34.92,3256.99,87.13,36.93,2667.6,62.54,37.39,3379.89,137.34,33.38,7185.51
PSliceSearch4x8=0,142.98,35.51,2837.92,81.51,37.86,2376.22,60.14,37.95,3117.97,120.66,35.25,6089.38
BSliceSearch8x4=0,139.28,35.51,2848.03,77.94,37.86,2376.8,58.66,37.94,3117.44,115.9,35.24,6093.02
BReferencePictures=1,131.84,36.21,3403.95,80.32,38.23,2753.33,56.71,38.45,3635.47,111.13,35.87,7381.6
BReferencePictures=0,125.44,36.21,3403.95,75.97,38.23,2753.33,56.13,38.45,3635.47,111.15,35.87,7381.6
BSliceSearch8x8=0,122.5,35.51,2859.6,69.61,37.86,2375.02,53.41,37.93,3114.19,112.49,35.24,6112.84
UseRDOQuant=0,57.17,35.57,3025.47,46.14,37.35,2278,35.56,37.45,2948.27,53.55,34.83,6278.22
